Código,Nombre Institución,Categoría,ID_Municipio,Municipio
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Universitaria,111,Bogotá D.C.
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,Universitaria,111,Bogotá D.C.
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Universitaria,1038,Tunja
1110,UNIVERSIDAD DEL CAUCA,Universitaria,703,Popayán
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Universitaria,682,Pereira
1112,UNIVERSIDAD DE CALDAS,Universitaria,547,Manizales
1113,UNIVERSIDAD DE CORDOBA,Universitaria,589,Montería
1114,UNIVERSIDAD SURCOLOMBIANA,Universitaria,613,Neiva
1115,UNIVERSIDAD DE LA AMAZONIA,Universitaria,345,Florencia
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,Universitaria,111,Bogotá D.C.
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,Universitaria,752,Quibdó
1119,UNIVERSIDAD DE LOS LLANOS,Universitaria,1097,Villavicencio
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,Universitaria,111,Bogotá D.C.
1122,UNIVERSIDAD DEL PACIFICO,Universitaria,124,Buenaventura
1123,UNIVERSIDAD POPULAR DEL CESAR,Universitaria,1066,Valledupar
1202,UNIVERSIDAD DEL ATLANTICO,Universitaria,724,Puerto Colombia
1203,UNIVERSIDAD DEL VALLE,Universitaria,153,Cali
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universitaria,121,Bucaramanga
1205,UNIVERSIDAD DE CARTAGENA,Universitaria,177,Cartagena de Indias
1206,UNIVERSIDAD DE NARIÑO,Universitaria,671,Pasto
1207,UNIVERSIDAD DEL TOLIMA,Universitaria,435,Ibagué
1208,UNIVERSIDAD DEL QUINDIO,Universitaria,68,Armenia
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Universitaria,267,San José de Cúcuta
1212,UNIVERSIDAD DE PAMPLONA,Universitaria,662,Pamplona
1213,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Universitaria,905,Santa Marta
1214,UNIVERSIDAD DE CUNDINAMARCA-UDEC,Universitaria,364,Fusagasugá
1217,UNIVERSIDAD DE SUCRE,Universitaria,942,Sincelejo
1218,UNIVERSIDAD DE LA GUAJIRA,Universitaria,776,Riohacha
1220,UNIVERSIDAD DE ANTIOQUIA,Universitaria,562,Medellín
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,Universitaria,111,Bogotá D.C.
1701,PONTIFICIA UNIVERSIDAD JAVERIANA,Universitaria,111,Bogotá D.C.
1703,UNIVERSIDAD INCCA DE COLOMBIA,Universitaria,111,Bogotá D.C.
1704,UNIVERSIDAD SANTO TOMAS,Universitaria,111,Bogotá D.C.
1706,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universitaria,111,Bogotá D.C.
1707,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,Universitaria,111,Bogotá D.C.
1709,UNIVERSIDAD CENTRAL,Universitaria,111,Bogotá D.C.
1710,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universitaria,562,Medellín
1711,UNIVERSIDAD DE LA SABANA,Universitaria,197,Chía
1712,UNIVERSIDAD EAFIT-,Universitaria,562,Medellín
1713,UNIVERSIDAD DEL NORTE,Universitaria,92,Barranquilla
1714,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,Universitaria,111,Bogotá D.C.
1715,FUNDACION UNIVERSIDAD DE AMERICA,Universitaria,111,Bogotá D.C.
1716,UNIVERSIDAD DE SAN BUENAVENTURA,Universitaria,153,Cali
1719,UNIVERSIDAD CATOLICA DE COLOMBIA,Universitaria,111,Bogotá D.C.
1720,UNIVERSIDAD MARIANA,Universitaria,671,Pasto
1722,UNIVERSIDAD DE MANIZALES,Universitaria,547,Manizales
1725,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,Universitaria,111,Bogotá D.C.
1726,UNIVERSIDAD CATOLICA DE ORIENTE -UCO,Universitaria,777,Rionegro
1728,UNIVERSIDAD SERGIO ARBOLEDA,Universitaria,111,Bogotá D.C.
1729,UNIVERSIDAD EL BOSQUE,Universitaria,111,Bogotá D.C.
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,Universitaria,1038,Tunja
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,Universitaria,111,Bogotá D.C.
1801,UNIVERSIDAD LA GRAN COLOMBIA,Universitaria,111,Bogotá D.C.
1803,UNIVERSIDAD DE LA SALLE,Universitaria,111,Bogotá D.C.
1804,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,Universitaria,92,Barranquilla
1805,UNIVERSIDAD SANTIAGO DE CALI,Universitaria,153,Cali
1806,UNIVERSIDAD LIBRE,Universitaria,111,Bogotá D.C.
1812,UNIVERSIDAD DE MEDELLIN,Universitaria,562,Medellín
1813,UNIVERSIDAD DE LOS ANDES,Universitaria,111,Bogotá D.C.
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,Universitaria,562,Medellín
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,Universitaria,111,Bogotá D.C.
1816,UNIVERSIDAD COOPERATIVA DE COLOMBIA,Universitaria,562,Medellín
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,Universitaria,121,Bucaramanga
1824,UNIVERSIDAD METROPOLITANA,Universitaria,92,Barranquilla
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,Universitaria,547,Manizales
1826,UNIVERSIDAD ANTONIO NARIÑO,Universitaria,111,Bogotá D.C.
1827,UNIVERSIDAD CATOLICA DE MANIZALES,Universitaria,547,Manizales
1828,UNIVERSIDAD ICESI,Universitaria,153,Cali
1830,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Universitaria,153,Cali
1831,UNIVERSIDAD DE IBAGUE,Universitaria,435,Ibagué
1832,UNIVERSIDAD TECNOLOGICA DE BOLIVAR,Universitaria,177,Cartagena de Indias
1833,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,Universitaria,589,Montería
1835,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,Universitaria,111,Bogotá D.C.
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,Universitaria,111,Bogotá D.C.
2104,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,Mixta,111,Bogotá D.C.
2106,DIRECCION NACIONAL DE ESCUELAS,Mixta,111,Bogotá D.C.
2110,COLEGIO MAYOR DE ANTIOQUIA,Mixta,562,Medellín
2114,ESCUELA NACIONAL DEL DEPORTE,Mixta,153,Cali
2206,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,Mixta,153,Cali
2207,INSTITUTO UNIVERSITARIO DE LA PAZ,Mixta,88,Barrancabermeja
2208,CONSERVATORIO DEL TOLIMA,Mixta,435,Ibagué
2209,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,Mixta,562,Medellín
2211,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,Mixta,177,Cartagena de Indias
2301,UNIDAD CENTRAL DEL VALLE DEL CAUCA,Mixta,1037,Tuluá
2302,INSTITUCION UNIVERSITARIA DE ENVIGADO,Mixta,337,Envigado
2701,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,Mixta,111,Bogotá D.C.
2702,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,Mixta,111,Bogotá D.C.
2704,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,Mixta,111,Bogotá D.C.
2707,FUNDACIÓN UNIVERSITARIA JUAN N. CORPAS,Mixta,111,Bogotá D.C.
2708,UNIVERSIDAD CES,Universitaria,562,Medellín
2709,FUNDACION UNIVERSITARIA SAN MARTIN,Mixta,111,Bogotá D.C.
2710,FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE,Mixta,111,Bogotá D.C.
2711,UNIVERSIDAD CATOLICA DE PEREIRA,Universitaria,682,Pereira
2712,FUNDACION UNIVERSITARIA KONRAD LORENZ,Mixta,111,Bogotá D.C.
2713,FUNDACION UNIVERSITARIA LOS LIBERTADORES,Mixta,111,Bogotá D.C.
2715,FUNDACION UNIVERSITARIA DE POPAYAN,Mixta,703,Popayán
2719,UNIVERSIDAD CATÓLICA LUIS AMIGÓ,Universitaria,562,Medellín
2720,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,Mixta,1038,Tunja
2721,FUNDACION UNIVERSITARIA MARIA CANO,Mixta,562,Medellín
2722,FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,Mixta,742,Puerto Tejada
2723,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-,Mixta,111,Bogotá D.C.
2724,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,Mixta,841,San Gil
2725,POLITECNICO GRANCOLOMBIANO,Mixta,111,Bogotá D.C.
2727,FUNDACION UNIVERSITARIA-CEIPA-,Mixta,795,Sabaneta
2728,FUNDACION UNIVERSITARIA DEL AREA ANDINA,Mixta,111,Bogotá D.C.
2730,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION,Mixta,111,Bogotá D.C.
2731,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM - UNICATÓLICA - CALI,Mixta,153,Cali
2732,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,Mixta,909,Santa Rosa de Osos
2733,FUNDACIÓN UNIVERSITARIA SAN ALFONSO- FUSA-,Mixta,111,Bogotá D.C.
2736,FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA - FUSBC,Mixta,562,Medellín
2738,FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTA- UNIEMPRESARIAL,Mixta,111,Bogotá D.C.
2739,FUNDACION DE ESTUDIOS SUPERIORES UNIVERSITARIOS DE URABA ANTONIO ROLDAN BETANCUR,Mixta,48,Apartadó
2740,INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA,Mixta,111,Bogotá D.C.
2741,FUNDACION DE ESTUDIOS SUPERIORES - MONSEÑOR ABRAHAM ESCUDERO MONTOYA  - FUNDES,Mixta,338,Espinal
2743,UNIVERSIDAD INTERNACIONAL DEL TRÓPICO AMERICANO,Universitaria,1112,Yopal
2744,UNIVERSIDAD CESMAG - UNICESMAG,Universitaria,671,Pasto
2745,FUNDACIÓN UNIVERSITARIA COMPENSAR,Mixta,111,Bogotá D.C.
